x,episode_rewards
0,800.0
1,733.0
2,732.0
3,703.0
4,725.0
5,689.0
6,747.0
7,752.0
8,746.0
9,710.0
10,710.0
11,700.0
12,727.0
13,680.0
14,743.0
15,706.0
16,712.0
17,715.0
18,760.0
19,736.0
20,730.0
21,715.0
22,731.0
23,689.0
24,733.0
25,710.0
26,746.0
27,689.0
28,744.0
29,716.0
30,736.0
31,714.0
32,712.0
33,740.0
34,748.0
35,724.0
36,696.0
37,739.0
38,717.0
39,724.0
40,756.0
41,767.0
42,714.0
43,708.0
44,719.0
45,719.0
46,691.0
47,761.0
48,730.0
49,725.0
50,754.0
51,766.0
52,726.0
53,735.0
54,702.0
55,706.0
56,712.0
57,705.0
58,715.0
59,759.0
60,769.0
61,723.0
62,759.0
63,701.0
64,704.0
65,732.0
66,765.0
67,692.0
68,750.0
69,751.0
70,679.0
71,700.0
72,748.0
73,705.0
74,696.0
75,692.0
76,739.0
77,731.0
78,754.0
79,699.0
80,740.0
81,745.0
82,742.0
83,709.0
84,721.0
85,750.0
86,712.0
87,728.0
88,752.0
89,730.0
90,731.0
91,744.0
92,741.0
93,716.0
94,775.0
95,721.0
96,742.0
97,746.0
98,758.0
99,700.0
100,735.0
101,765.0
102,715.0
103,755.0
104,746.0
105,721.0
106,696.0
107,702.0
108,735.0
109,738.0
110,780.0
111,716.0
112,728.0
113,730.0
114,699.0
115,708.0
116,720.0
117,748.0
118,684.0
119,698.0
120,730.0
121,711.0
122,697.0
123,682.0
124,707.0
125,765.0
126,734.0
127,703.0
128,704.0
129,712.0
130,717.0
131,686.0
132,775.0
133,738.0
134,749.0
135,690.0
136,733.0
137,713.0
138,740.0
139,680.0
140,737.0
141,706.0
142,750.0
143,682.0
144,704.0
145,708.0
146,739.0
147,723.0
148,747.0
149,750.0
150,655.0
151,743.0
152,751.0
153,701.0
154,694.0
155,718.0
156,721.0
157,693.0
158,714.0
159,698.0
160,739.0
161,763.0
162,717.0
163,692.0
164,736.0
165,746.0
166,758.0
167,734.0
168,712.0
169,693.0
170,685.0
171,734.0
172,716.0
173,709.0
174,765.0
175,669.0
176,718.0
177,725.0
178,746.0
179,745.0
180,718.0
181,770.0
182,743.0
183,749.0
184,727.0
185,715.0
186,726.0
187,751.0
188,693.0
189,731.0
190,740.0
191,690.0
192,701.0
193,728.0
194,723.0
195,711.0
196,723.0
197,698.0
198,749.0
199,700.0
200,702.0
201,702.0
202,732.0
203,722.0
204,735.0
205,715.0
206,761.0
207,662.0
208,741.0
209,733.0
210,700.0
211,697.0
212,690.0
213,757.0
214,724.0
215,661.0
216,716.0
217,701.0
218,768.0
219,718.0
220,720.0
221,713.0
222,762.0
223,710.0
224,742.0
225,694.0
226,738.0
227,730.0
228,726.0
229,762.0
230,728.0
231,689.0
232,714.0
233,716.0
234,759.0
235,695.0
236,724.0
237,696.0
238,762.0
239,687.0
240,752.0
241,748.0
242,762.0
243,730.0
244,699.0
245,734.0
246,706.0
247,770.0
248,713.0
249,732.0
250,734.0
251,743.0
252,750.0
253,774.0
254,694.0
255,706.0
256,681.0
257,701.0
258,731.0
259,730.0
260,692.0
261,728.0
262,745.0
263,728.0
264,709.0
265,757.0
266,743.0
267,700.0
268,801.0
269,720.0
270,719.0
271,724.0
272,728.0
273,704.0
274,736.0
275,737.0
276,705.0
277,718.0
278,759.0
279,751.0
280,722.0
281,727.0
282,683.0
283,696.0
284,740.0
285,732.0
286,707.0
287,702.0
288,725.0
289,705.0
290,723.0
291,703.0
292,736.0
293,692.0
294,739.0
295,763.0
296,648.0
297,712.0
298,696.0
299,672.0
300,760.0
301,724.0
302,719.0
303,716.0
304,782.0
305,714.0
306,776.0
307,714.0
308,717.0
309,719.0
310,741.0
311,766.0
312,732.0
313,713.0
314,773.0
315,708.0
316,736.0
317,728.0
318,659.0
319,714.0
320,754.0
321,722.0
322,746.0
323,769.0
324,715.0
325,752.0
326,681.0
327,715.0
328,729.0
329,761.0
330,726.0
331,734.0
332,724.0
333,736.0
334,723.0
335,701.0
336,779.0
337,716.0
338,742.0
339,693.0
340,715.0
341,717.0
342,709.0
343,682.0
344,723.0
345,754.0
346,805.0
347,687.0
348,693.0
349,743.0
350,717.0
351,720.0
352,716.0
353,715.0
354,703.0
355,715.0
356,748.0
357,722.0
358,761.0
359,711.0
360,784.0
361,669.0
362,745.0
363,732.0
364,736.0
365,690.0
366,776.0
367,650.0
368,714.0
369,700.0
370,695.0
371,668.0
372,720.0
373,753.0
374,750.0
375,723.0
376,722.0
377,728.0
378,709.0
379,739.0
380,760.0
381,726.0
382,762.0
383,721.0
384,751.0
385,697.0
386,760.0
387,700.0
388,759.0
389,710.0
390,780.0
391,689.0
392,751.0
393,710.0
394,752.0
395,770.0
396,739.0
397,786.0
398,771.0
399,740.0
400,705.0
401,795.0
402,688.0
403,714.0
404,699.0
405,749.0
406,725.0
407,728.0
408,743.0
409,757.0
410,715.0
411,733.0
412,686.0
413,699.0
414,764.0
415,758.0
416,758.0
417,678.0
418,738.0
419,744.0
420,708.0
421,687.0
422,671.0
423,709.0
424,737.0
425,703.0
426,740.0
427,704.0
428,691.0
429,691.0
430,724.0
431,733.0
432,710.0
433,715.0
434,698.0
435,721.0
436,668.0
437,803.0
438,666.0
439,738.0
440,709.0
441,733.0
442,711.0
443,715.0
444,685.0
445,750.0
446,746.0
447,679.0
448,772.0
449,733.0
450,728.0
451,678.0
452,763.0
453,690.0
454,782.0
455,735.0
456,715.0
457,722.0
458,680.0
459,710.0
460,743.0
461,714.0
462,778.0
463,772.0
464,691.0
465,724.0
466,649.0
467,710.0
468,728.0
469,729.0
470,771.0
471,748.0
472,759.0
473,668.0
474,664.0
475,750.0
476,694.0
477,695.0
478,698.0
479,720.0
480,704.0
481,692.0
482,767.0
483,758.0
484,729.0
485,700.0
486,767.0
487,752.0
488,712.0
489,714.0
490,715.0
491,709.0
492,744.0
493,732.0
494,736.0
495,742.0
496,677.0
497,771.0
498,769.0
499,720.0
500,745.0
501,727.0
502,691.0
503,728.0
504,697.0
505,781.0
506,739.0
507,724.0
508,704.0
509,753.0
510,703.0
511,717.0
512,706.0
513,702.0
514,722.0
515,693.0
516,739.0
517,694.0
518,716.0
519,702.0
520,777.0
521,685.0
522,731.0
523,744.0
524,701.0
525,716.0
526,703.0
527,667.0
528,687.0
529,767.0
530,683.0
531,764.0
532,708.0
533,720.0
534,681.0
535,751.0
536,669.0
537,823.0
538,708.0
539,755.0
540,717.0
541,700.0
542,730.0
543,724.0
544,677.0
545,773.0
546,659.0
547,799.0
548,680.0
549,784.0
550,722.0
551,797.0
552,711.0
553,804.0
554,685.0
555,773.0
556,728.0
557,742.0
558,632.0
559,737.0
560,651.0
561,743.0
562,709.0
563,760.0
564,712.0
565,790.0
566,730.0
567,725.0
568,727.0
569,699.0
570,734.0
571,693.0
572,744.0
573,674.0
574,750.0
575,689.0
576,703.0
577,717.0
578,716.0
579,765.0
580,710.0
581,755.0
582,698.0
583,752.0
584,721.0
585,776.0
586,806.0
587,728.0
588,707.0
589,758.0
590,716.0
591,760.0
592,637.0
593,730.0
594,681.0
595,737.0
596,743.0
597,725.0
598,724.0
599,739.0
600,720.0
601,713.0
602,755.0
603,711.0
604,739.0
605,732.0
606,713.0
607,742.0
608,709.0
609,813.0
610,691.0
611,790.0
612,735.0
613,740.0
614,723.0
615,768.0
616,677.0
617,758.0
618,662.0
619,750.0
620,689.0
621,738.0
622,677.0
623,799.0
624,689.0
625,708.0
626,720.0
627,742.0
628,783.0
629,667.0
630,721.0
631,730.0
632,639.0
633,717.0
634,763.0
635,698.0
636,780.0
637,698.0
638,741.0
639,667.0
640,699.0
641,756.0
642,745.0
643,748.0
644,728.0
645,733.0
646,775.0
647,702.0
648,787.0
649,715.0
650,772.0
651,750.0
652,710.0
653,732.0
654,718.0
655,708.0
656,720.0
657,729.0
658,750.0
659,711.0
660,762.0
661,724.0
662,670.0
663,798.0
664,658.0
665,740.0
666,725.0
667,784.0
668,687.0
669,738.0
670,740.0
671,696.0
672,725.0
673,702.0
674,731.0
675,725.0
676,742.0
677,782.0
678,733.0
679,704.0
680,723.0
681,680.0
682,771.0
683,672.0
684,783.0
685,726.0
686,758.0
687,713.0
688,637.0
689,752.0
690,694.0
691,798.0
692,697.0
693,743.0
694,683.0
695,775.0
696,716.0
697,704.0
698,767.0
699,709.0
700,698.0
701,728.0
702,687.0
703,818.0
704,736.0
705,641.0
706,736.0
707,731.0
708,832.0
709,680.0
710,743.0
711,661.0
712,750.0
713,815.0
714,707.0
715,712.0
716,739.0
717,703.0
718,619.0
719,723.0
720,766.0
721,779.0
722,775.0
723,735.0
724,690.0
725,728.0
726,682.0
727,728.0
728,693.0
729,737.0
730,768.0
731,710.0
732,795.0
733,704.0
734,742.0
735,652.0
736,795.0
737,696.0
738,733.0
739,724.0
740,703.0
741,752.0
742,697.0
743,686.0
744,734.0
745,630.0
746,759.0
747,692.0
748,721.0
749,630.0
750,799.0
751,697.0
752,734.0
753,773.0
754,677.0
755,662.0
756,765.0
757,720.0
758,722.0
759,714.0
760,741.0
761,672.0
762,712.0
763,705.0
764,712.0
765,776.0
766,689.0
767,758.0
768,642.0
769,777.0
770,710.0
771,750.0
772,698.0
773,711.0
774,713.0
775,741.0
776,718.0
