x,episode_rewards,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,800.0,3.3,3.9,4.6,4.8,4.7,4.2,4.7,5.0,4.4,4.2,3.1,4.6,3.9,5.4,4.5,4.7,5.3,4.7
1,733.0,3.9,3.5,3.9,5.2,4.7,3.7,4.2,4.4,3.1,4.7,3.8,4.3,3.7,4.0,4.5,3.9,3.9,3.9
2,732.0,4.0,3.8,3.1,4.8,4.9,4.8,4.3,3.8,4.5,4.7,3.9,3.3,4.5,3.6,3.5,4.0,4.4,3.3
3,702.0,4.7,2.7,4.2,3.9,3.8,3.9,4.5,3.1,4.2,3.7,3.9,4.1,4.0,3.5,4.7,4.1,3.2,4.0
4,725.0,3.6,3.4,3.1,4.2,4.1,4.1,5.2,3.5,4.2,4.6,3.5,4.5,4.7,2.8,3.9,4.2,3.9,5.0
5,688.0,3.4,3.3,4.4,2.9,4.3,3.8,4.6,3.2,4.7,3.8,3.1,3.2,3.5,3.6,4.2,4.2,4.2,4.4
6,745.0,4.1,4.3,4.3,4.6,4.4,4.3,3.5,4.2,4.7,3.5,4.1,3.6,4.0,3.4,4.9,4.6,3.7,4.3
7,752.0,3.4,4.1,3.4,4.8,3.8,4.1,4.6,5.2,4.0,4.3,3.8,4.2,4.6,4.8,4.0,3.9,4.2,4.0
8,746.0,4.5,3.6,3.2,5.7,4.5,4.2,4.8,3.3,3.2,4.7,4.5,4.2,3.9,3.5,4.5,4.7,3.1,4.5
9,711.0,4.1,4.7,3.8,4.4,2.9,4.3,3.3,3.9,3.9,4.0,2.9,4.5,3.8,4.0,4.2,3.2,5.1,4.1
10,711.0,4.2,4.8,4.3,4.5,2.9,3.6,4.4,4.4,3.4,4.4,2.9,4.0,3.2,4.4,3.9,4.8,3.4,3.6
11,700.0,4.5,2.6,3.6,3.9,4.0,3.5,3.6,4.2,3.1,4.2,4.3,4.9,4.0,4.9,3.6,3.2,3.4,4.5
12,729.0,4.4,5.4,4.7,3.9,3.9,3.8,4.3,4.5,4.6,4.6,4.1,3.9,3.5,3.3,3.9,3.5,3.2,3.4
13,682.0,4.5,4.0,4.5,3.5,4.3,2.9,3.9,4.8,3.4,3.8,4.0,3.8,3.5,2.3,2.9,3.2,5.2,3.7
14,743.0,3.5,3.1,3.9,4.8,3.7,4.3,4.6,4.2,5.0,4.1,4.1,3.9,4.4,4.2,3.8,4.3,5.0,3.4
15,707.0,3.4,5.0,3.6,3.4,4.4,3.0,4.5,4.0,3.1,4.3,4.2,4.0,5.0,3.4,4.5,2.5,4.2,4.2
16,711.0,3.4,4.4,4.8,3.8,4.4,3.1,3.7,4.2,5.1,3.4,3.2,3.9,3.6,4.4,3.9,4.2,4.3,3.3
17,717.0,4.3,4.0,3.7,3.0,3.4,5.1,4.7,3.7,3.1,4.5,4.3,4.1,4.0,4.4,4.4,3.6,3.4,4.0
18,758.0,4.9,4.3,4.9,3.8,3.2,3.5,5.6,3.8,4.7,4.0,4.4,3.6,4.0,3.2,4.7,5.0,4.0,4.2
19,738.0,3.7,3.8,4.3,4.1,3.4,4.4,4.5,5.1,4.3,4.4,3.3,3.5,3.3,4.5,4.5,4.5,3.8,4.4
20,731.0,4.5,4.2,4.5,4.0,3.8,4.9,4.5,3.8,3.7,3.3,5.2,4.1,4.1,3.5,4.4,3.3,4.0,3.3
21,715.0,4.9,4.3,4.3,5.0,4.2,3.8,4.1,3.9,3.4,4.0,3.4,3.1,2.8,3.2,5.1,3.8,3.5,4.7
22,732.0,3.8,4.1,4.6,3.0,4.2,4.4,3.8,3.9,4.5,3.3,4.0,4.8,2.8,4.1,4.6,3.8,4.8,4.7
23,689.0,3.4,3.7,4.5,4.0,3.7,3.1,3.8,3.1,4.3,4.4,3.7,4.3,5.2,3.9,3.2,3.4,2.9,4.3
24,734.0,3.9,4.6,4.0,5.3,4.5,3.9,4.1,3.3,4.4,3.7,3.5,4.6,3.4,3.9,5.0,3.8,3.3,4.2
25,710.0,4.5,3.2,3.9,4.1,4.4,4.7,3.7,4.5,4.5,4.1,3.6,3.7,3.5,3.9,3.7,3.5,4.1,3.4
26,745.0,4.4,3.8,4.1,3.9,4.8,4.4,4.7,3.7,4.6,4.2,2.9,3.6,4.4,4.6,3.9,4.6,3.9,4.0
27,690.0,3.8,3.9,4.2,3.2,4.0,4.0,4.6,4.2,3.4,4.0,3.2,2.9,4.6,4.1,4.5,4.3,3.4,2.7
28,741.0,3.7,4.5,3.8,4.0,3.7,3.8,4.9,4.5,4.7,3.2,4.2,4.2,4.6,3.7,4.7,3.3,4.4,4.2
29,715.0,3.6,3.3,4.7,3.9,4.2,3.4,5.1,4.2,3.9,3.3,3.8,3.7,3.4,4.2,4.5,4.1,4.4,3.8
30,734.0,3.3,3.5,3.7,4.8,3.7,3.6,4.0,4.1,4.4,3.8,4.4,4.1,4.1,3.9,4.7,4.0,4.6,4.7
31,712.0,4.1,3.9,4.2,3.8,3.0,3.5,3.9,4.5,4.6,4.0,4.2,3.6,5.0,3.5,4.4,3.8,3.8,3.4
32,710.0,3.9,2.7,3.2,3.4,3.9,4.3,3.9,3.6,3.6,4.4,3.7,4.1,3.6,4.6,4.6,4.1,4.1,5.3
33,736.0,3.7,4.0,4.8,3.8,4.6,4.6,4.6,3.8,3.3,4.1,4.4,4.8,3.2,4.0,4.8,3.7,3.8,3.6
34,750.0,3.9,3.5,4.8,3.1,3.8,3.9,3.2,5.0,5.4,5.3,4.7,4.6,4.1,3.5,4.5,3.8,4.1,3.8
35,725.0,3.9,3.9,4.3,3.6,4.9,3.6,3.8,4.3,4.4,3.9,3.3,3.6,4.0,3.8,4.9,4.6,3.5,4.2
36,697.0,4.4,4.0,4.3,3.6,4.3,2.8,4.1,4.1,3.9,4.3,3.3,4.7,3.8,3.4,2.5,4.2,3.8,4.2
37,738.0,3.8,4.0,3.6,3.9,4.4,2.7,4.2,4.2,4.4,4.3,4.2,4.8,4.1,4.4,3.7,4.0,4.4,4.7
38,717.0,3.6,2.7,3.3,2.8,4.5,4.4,3.6,4.3,3.7,4.0,4.1,3.6,4.2,4.0,4.8,5.1,4.8,4.2
39,726.0,4.3,4.8,3.6,5.4,3.3,4.5,4.5,3.1,4.0,3.9,3.8,4.0,4.0,3.6,3.5,3.1,4.6,4.6
40,757.0,4.2,4.1,3.9,5.0,3.7,4.4,3.8,5.5,4.0,4.0,4.3,3.7,5.4,4.0,3.6,4.0,3.9,4.2
41,768.0,5.4,4.6,4.1,4.2,5.0,4.3,3.9,4.1,5.0,4.6,3.3,3.8,3.8,4.4,5.0,3.3,4.8,3.2
42,714.0,4.4,4.6,3.5,3.2,5.0,3.8,3.3,3.5,3.7,4.6,3.5,3.6,3.7,4.3,3.8,4.6,4.4,3.9
43,712.0,3.3,5.3,3.8,4.2,3.8,4.4,3.8,4.4,4.6,3.2,4.2,3.6,3.1,3.0,3.6,4.5,4.6,3.8
44,719.0,3.4,3.9,3.9,4.1,4.1,3.9,5.0,4.6,2.5,4.6,3.2,4.2,3.7,3.8,3.8,3.8,4.6,4.8
45,721.0,3.9,3.8,3.1,3.9,4.1,3.7,4.2,4.5,3.4,4.3,4.2,4.6,4.6,4.1,4.8,3.7,3.8,3.4
46,691.0,3.1,4.3,3.8,4.4,3.2,3.9,5.2,3.5,3.1,3.4,3.0,3.7,4.0,4.6,3.1,4.4,3.9,4.5
47,762.0,4.3,4.4,4.5,3.9,5.3,4.6,4.2,3.3,3.4,2.9,4.4,3.4,4.2,4.1,5.0,4.9,4.8,4.6
48,728.0,3.1,4.0,4.3,4.0,4.4,4.7,4.0,4.5,3.6,3.8,3.8,3.0,4.1,4.4,3.4,4.6,5.1,4.0
49,725.0,5.0,3.7,3.8,5.1,3.9,4.9,4.3,3.7,4.4,3.7,4.7,3.2,3.4,3.9,4.4,3.4,3.2,3.8
50,753.0,4.0,4.1,5.1,3.8,3.8,3.4,4.7,4.1,4.5,3.5,5.2,4.0,4.0,3.9,4.4,4.5,4.2,4.1
51,765.0,4.4,4.7,3.6,4.3,4.4,4.6,4.0,4.3,4.0,3.3,4.1,4.4,4.1,4.6,3.4,4.5,4.4,5.4
52,727.0,3.9,3.7,4.2,2.7,3.7,4.3,3.6,5.1,4.0,4.2,3.9,4.5,4.1,4.3,3.8,3.8,4.4,4.5
53,737.0,3.5,5.7,3.6,4.7,4.0,4.2,3.3,3.6,4.1,5.1,3.4,3.7,2.9,4.6,4.8,4.3,4.7,3.5
54,698.0,4.7,3.2,3.5,4.7,4.0,4.0,3.7,4.5,3.1,3.0,3.9,4.3,3.4,4.1,3.5,3.8,4.2,4.2
55,706.0,4.5,4.9,4.4,3.1,3.7,4.8,3.4,3.3,3.4,4.2,3.6,4.1,3.4,4.1,3.5,3.7,3.5,5.0
56,701.0,3.3,3.6,3.4,3.7,3.7,4.6,4.3,4.1,4.3,3.9,3.6,4.1,4.5,3.8,3.8,3.5,3.4,4.5
57,704.0,3.2,3.8,4.6,3.6,3.0,4.1,4.6,4.9,4.3,4.1,3.5,3.2,3.5,4.3,3.8,3.7,3.9,4.3
58,716.0,4.2,4.3,4.0,4.2,3.0,3.7,4.0,3.7,3.1,4.8,3.7,3.3,4.6,4.6,4.0,4.7,3.7,4.0
59,761.0,3.6,3.6,5.3,3.3,4.2,5.0,4.5,4.0,4.3,4.3,4.5,4.3,4.5,3.8,4.9,3.5,4.8,3.7
60,775.0,4.7,4.6,3.9,4.6,3.7,5.1,4.4,3.4,5.7,3.5,4.3,4.2,4.8,3.9,3.7,4.4,3.7,4.9
61,720.0,3.8,3.8,3.1,4.5,4.4,4.0,3.0,4.2,4.2,3.9,4.5,4.6,4.4,2.9,4.8,4.0,4.5,3.4
62,756.0,3.5,4.5,4.4,4.6,4.2,4.3,4.1,4.6,3.2,3.8,4.6,4.9,4.9,4.0,3.6,3.7,4.2,4.5
63,696.0,3.3,4.3,2.8,4.7,4.0,4.0,3.5,4.1,3.8,4.2,3.6,4.7,3.5,4.3,3.3,3.0,4.3,4.2
64,704.0,3.2,5.6,4.1,4.8,4.4,4.5,4.6,3.3,3.7,3.4,3.7,3.4,2.6,3.1,4.6,4.2,2.9,4.3
65,729.0,3.5,4.1,3.9,4.8,4.1,4.6,3.3,4.5,2.9,4.8,4.5,4.3,4.4,3.8,3.4,3.5,4.2,4.3
66,759.0,4.2,3.8,4.5,4.6,4.2,4.3,3.3,3.9,4.5,3.8,3.6,4.0,5.3,4.5,3.6,4.2,4.3,5.3
67,693.0,3.6,4.4,4.9,2.8,3.9,3.5,3.8,4.3,2.6,4.2,5.0,4.1,3.4,4.2,3.4,3.5,3.8,3.9
68,752.0,3.8,4.7,4.7,4.1,3.5,3.9,3.8,5.3,3.4,3.9,4.8,4.3,4.1,4.0,5.3,4.3,3.0,4.3
69,748.0,4.8,4.0,4.0,3.5,4.7,4.4,3.6,5.0,4.0,4.0,4.5,3.9,3.9,4.1,4.1,4.6,3.6,4.1
70,680.0,4.1,4.1,3.5,3.4,4.4,3.1,4.4,3.1,4.8,2.8,2.9,3.7,3.2,4.6,3.3,3.8,4.4,4.4
71,693.0,3.6,4.5,3.9,2.4,3.3,4.1,4.5,5.2,3.1,3.2,4.4,3.0,3.1,3.7,5.3,3.8,4.2,4.0
72,746.0,3.8,4.7,4.4,4.2,4.6,4.0,3.2,4.6,4.7,3.9,3.7,4.6,4.3,3.7,4.0,4.0,3.5,4.7
73,703.0,4.8,3.4,4.2,4.1,4.3,4.1,4.2,4.2,3.7,4.2,3.6,3.1,4.1,2.9,3.3,4.0,4.3,3.8
74,699.0,3.4,2.7,4.4,4.8,4.8,4.8,4.2,4.0,3.5,4.0,3.3,4.2,3.5,3.1,2.6,3.8,4.2,4.6
75,690.0,2.8,4.1,4.1,5.0,4.0,4.5,3.9,4.2,3.9,3.3,4.3,3.8,3.3,3.1,3.7,4.1,3.7,3.2
