x,episode_rewards
0,800.0
1,733.0
2,732.0
3,702.0
4,725.0
5,688.0
6,745.0
7,752.0
8,746.0
9,711.0
10,711.0
11,700.0
12,729.0
13,682.0
14,743.0
15,707.0
16,711.0
17,717.0
18,758.0
19,738.0
20,731.0
21,715.0
22,732.0
23,689.0
24,734.0
25,710.0
26,745.0
27,690.0
28,741.0
29,715.0
30,734.0
31,712.0
32,710.0
33,736.0
34,750.0
35,725.0
36,697.0
37,738.0
38,717.0
39,726.0
40,757.0
41,768.0
42,714.0
43,712.0
44,719.0
45,721.0
46,691.0
47,762.0
48,728.0
49,725.0
50,753.0
51,765.0
52,727.0
53,737.0
54,698.0
55,706.0
56,697.0
57,702.0
58,716.0
59,759.0
60,773.0
61,720.0
62,756.0
63,696.0
64,704.0
65,729.0
66,759.0
67,693.0
68,752.0
69,748.0
70,677.0
71,694.0
72,743.0
73,697.0
74,699.0
75,692.0
76,732.0
77,731.0
78,752.0
79,695.0
80,742.0
81,740.0
82,745.0
83,710.0
84,721.0
85,748.0
86,705.0
87,730.0
88,749.0
89,730.0
90,724.0
91,747.0
92,737.0
93,717.0
94,773.0
95,725.0
96,745.0
97,738.0
98,762.0
99,700.0
100,736.0
101,773.0
102,724.0
103,753.0
104,747.0
105,727.0
106,711.0
107,714.0
108,717.0
109,744.0
110,777.0
111,731.0
112,714.0
113,732.0
114,686.0
115,715.0
116,719.0
117,750.0
118,692.0
119,705.0
120,736.0
121,701.0
122,700.0
123,683.0
124,706.0
125,743.0
126,736.0
127,710.0
128,692.0
129,728.0
130,701.0
131,685.0
132,781.0
133,754.0
134,722.0
135,711.0
136,726.0
137,715.0
138,750.0
139,690.0
140,698.0
141,740.0
142,743.0
143,703.0
144,707.0
145,706.0
146,722.0
147,718.0
148,746.0
149,762.0
150,652.0
151,756.0
152,728.0
153,704.0
154,681.0
155,719.0
156,709.0
157,680.0
158,721.0
159,711.0
160,722.0
161,763.0
162,711.0
163,692.0
164,739.0
165,752.0
166,769.0
167,734.0
168,727.0
169,696.0
170,675.0
171,709.0
172,730.0
173,712.0
174,781.0
175,660.0
176,722.0
177,704.0
178,728.0
179,742.0
180,712.0
181,768.0
182,739.0
183,741.0
184,722.0
185,701.0
186,736.0
187,737.0
188,696.0
189,725.0
190,755.0
191,682.0
192,718.0
193,738.0
194,725.0
195,728.0
196,735.0
197,701.0
198,749.0
199,720.0
200,698.0
201,702.0
202,747.0
203,745.0
204,735.0
205,741.0
206,759.0
207,693.0
208,748.0
209,758.0
210,680.0
211,722.0
212,682.0
213,752.0
214,721.0
215,670.0
216,705.0
217,702.0
218,752.0
219,719.0
220,705.0
221,724.0
222,762.0
223,740.0
224,723.0
225,703.0
226,739.0
227,718.0
228,718.0
229,774.0
230,713.0
231,699.0
232,698.0
233,714.0
234,721.0
235,716.0
236,726.0
237,733.0
238,777.0
239,698.0
240,743.0
241,749.0
242,763.0
243,717.0
244,671.0
245,738.0
246,717.0
247,775.0
248,703.0
249,755.0
250,727.0
251,745.0
252,747.0
253,769.0
254,679.0
255,700.0
256,695.0
257,697.0
258,748.0
259,721.0
260,706.0
261,719.0
262,753.0
263,709.0
264,717.0
265,729.0
266,753.0
267,735.0
268,777.0
269,740.0
270,673.0
271,717.0
272,696.0
273,743.0
274,727.0
275,760.0
276,694.0
277,696.0
278,757.0
279,789.0
280,713.0
281,752.0
282,689.0
283,726.0
284,708.0
285,749.0
286,698.0
287,695.0
288,743.0
289,712.0
290,730.0
291,692.0
292,731.0
293,723.0
294,737.0
295,770.0
296,667.0
297,715.0
298,705.0
299,689.0
300,719.0
301,734.0
302,727.0
303,710.0
304,786.0
305,709.0
306,772.0
307,687.0
308,731.0
309,758.0
310,747.0
311,759.0
312,738.0
313,751.0
314,768.0
315,736.0
316,726.0
317,726.0
318,686.0
319,685.0
320,783.0
321,724.0
322,708.0
323,724.0
324,732.0
325,760.0
326,708.0
327,714.0
328,715.0
329,765.0
330,763.0
331,711.0
332,685.0
333,748.0
334,725.0
335,688.0
336,780.0
337,684.0
338,741.0
339,687.0
340,684.0
341,749.0
342,694.0
343,705.0
344,725.0
345,746.0
346,779.0
347,679.0
348,650.0
349,749.0
350,718.0
351,728.0
352,711.0
353,726.0
354,709.0
355,682.0
356,745.0
357,723.0
358,730.0
359,744.0
360,702.0
361,668.0
362,738.0
363,740.0
364,727.0
365,708.0
366,724.0
367,678.0
368,726.0
369,680.0
370,675.0
371,678.0
372,683.0
373,728.0
374,745.0
375,729.0
376,720.0
377,731.0
378,714.0
379,760.0
380,746.0
381,705.0
382,769.0
383,752.0
384,743.0
385,688.0
386,704.0
387,697.0
388,754.0
389,739.0
390,788.0
391,686.0
392,725.0
393,745.0
394,772.0
395,791.0
396,752.0
397,777.0
398,773.0
399,738.0
400,692.0
401,808.0
402,728.0
403,708.0
404,733.0
405,720.0
406,723.0
407,729.0
408,713.0
409,718.0
410,729.0
411,705.0
412,714.0
413,662.0
414,743.0
415,791.0
416,732.0
417,675.0
418,708.0
419,753.0
420,690.0
421,672.0
422,690.0
423,728.0
424,746.0
425,697.0
426,721.0
427,735.0
428,706.0
429,712.0
430,697.0
431,713.0
432,756.0
433,690.0
434,729.0
435,746.0
436,704.0
437,781.0
438,662.0
439,736.0
440,712.0
441,711.0
442,712.0
443,726.0
444,673.0
445,713.0
446,706.0
447,680.0
448,718.0
449,787.0
450,724.0
451,694.0
452,776.0
453,708.0
454,752.0
455,729.0
456,640.0
457,762.0
458,633.0
459,723.0
460,748.0
461,746.0
462,759.0
463,731.0
464,736.0
465,744.0
466,646.0
467,680.0
468,717.0
469,701.0
470,755.0
471,700.0
472,707.0
473,689.0
474,616.0
475,680.0
476,699.0
477,691.0
478,670.0
479,713.0
480,697.0
481,720.0
482,805.0
483,747.0
484,749.0
485,730.0
486,673.0
487,664.0
488,729.0
489,710.0
490,705.0
491,684.0
492,782.0
493,706.0
494,749.0
495,785.0
496,690.0
497,753.0
498,782.0
499,743.0
500,747.0
501,741.0
502,738.0
503,730.0
504,699.0
505,741.0
506,716.0
507,693.0
508,747.0
509,745.0
510,707.0
511,725.0
512,750.0
513,710.0
514,774.0
515,642.0
516,646.0
517,696.0
518,707.0
519,699.0
520,789.0
521,703.0
522,720.0
523,711.0
524,663.0
525,746.0
526,672.0
527,714.0
528,724.0
529,757.0
530,674.0
531,739.0
532,712.0
533,726.0
534,774.0
535,694.0
536,704.0
537,815.0
538,738.0
539,760.0
540,701.0
541,662.0
542,718.0
543,707.0
544,704.0
545,793.0
546,806.0
547,736.0
548,691.0
549,710.0
550,745.0
551,739.0
552,742.0
553,788.0
554,689.0
555,747.0
556,768.0
557,720.0
558,651.0
559,705.0
560,702.0
561,746.0
562,734.0
563,692.0
564,716.0
565,774.0
566,700.0
567,714.0
568,728.0
569,682.0
570,761.0
571,711.0
572,771.0
573,683.0
574,744.0
575,669.0
576,692.0
577,711.0
578,670.0
579,779.0
580,708.0
581,707.0
582,697.0
583,771.0
584,715.0
585,780.0
586,768.0
587,806.0
588,706.0
589,707.0
590,712.0
591,734.0
592,669.0
593,804.0
594,623.0
595,818.0
596,706.0
597,748.0
598,759.0
599,662.0
600,682.0
601,684.0
602,738.0
603,675.0
604,791.0
605,741.0
606,689.0
607,691.0
608,735.0
609,815.0
610,652.0
611,714.0
612,715.0
613,692.0
614,678.0
615,779.0
616,647.0
617,771.0
618,607.0
619,732.0
620,643.0
621,701.0
622,784.0
623,762.0
624,758.0
625,718.0
626,760.0
627,773.0
628,798.0
629,673.0
630,735.0
631,769.0
632,649.0
633,625.0
634,727.0
635,741.0
636,765.0
637,693.0
638,707.0
639,656.0
640,701.0
641,722.0
642,742.0
643,707.0
644,799.0
645,673.0
646,785.0
647,725.0
648,758.0
649,795.0
650,707.0
651,847.0
652,613.0
653,743.0
654,716.0
655,742.0
656,792.0
657,687.0
658,744.0
659,676.0
660,797.0
661,737.0
662,773.0
663,763.0
664,612.0
665,704.0
666,739.0
667,719.0
668,736.0
669,803.0
670,773.0
671,734.0
672,785.0
673,742.0
674,737.0
675,758.0
676,694.0
677,802.0
678,765.0
679,721.0
680,730.0
681,678.0
682,669.0
683,720.0
684,689.0
685,684.0
686,758.0
687,724.0
688,611.0
689,734.0
690,676.0
691,690.0
692,740.0
693,778.0
694,724.0
695,791.0
696,639.0
697,666.0
698,781.0
699,699.0
700,691.0
701,724.0
702,705.0
703,742.0
704,683.0
705,619.0
706,721.0
707,701.0
708,797.0
709,697.0
710,736.0
711,650.0
712,748.0
713,791.0
714,773.0
715,700.0
716,748.0
717,710.0
718,622.0
719,711.0
720,838.0
721,775.0
722,762.0
723,731.0
724,652.0
725,722.0
726,738.0
727,668.0
728,730.0
729,758.0
730,779.0
731,690.0
732,698.0
733,662.0
734,749.0
735,707.0
736,712.0
737,752.0
738,757.0
739,714.0
740,656.0
741,814.0
742,702.0
743,726.0
744,763.0
745,628.0
746,754.0
747,714.0
748,739.0
749,705.0
750,800.0
751,756.0
752,736.0
753,745.0
754,632.0
755,699.0
756,696.0
757,725.0
758,664.0
759,709.0
760,799.0
761,692.0
762,634.0
763,766.0
764,763.0
765,740.0
766,757.0
767,732.0
768,759.0
769,762.0
770,759.0
771,694.0
772,656.0
773,728.0
774,691.0
775,798.0
776,700.0
