x,episode_rewards
0,1297.0
1,1311.0
2,1239.0
3,1251.0
4,1240.0
5,1282.0
6,1282.0
7,1266.0
8,1278.0
9,1243.0
10,1218.0
11,1225.0
12,1272.0
13,1203.0
14,1253.0
15,1267.0
16,1247.0
17,1215.0
18,1263.0
19,1234.0
20,1298.0
21,1240.0
22,1297.0
23,1266.0
24,1277.0
25,1281.0
26,1274.0
27,1235.0
28,1219.0
29,1259.0
30,1258.0
31,1227.0
32,1220.0
33,1297.0
34,1310.0
35,1281.0
36,1239.0
37,1241.0
38,1300.0
39,1256.0
40,1315.0
41,1324.0
42,1203.0
43,1242.0
44,1285.0
45,1200.0
46,1239.0
47,1302.0
48,1247.0
49,1279.0
50,1279.0
51,1286.0
52,1250.0
53,1259.0
54,1246.0
55,1221.0
56,1191.0
57,1269.0
58,1241.0
59,1244.0
60,1272.0
61,1271.0
62,1303.0
63,1245.0
64,1233.0
65,1250.0
66,1284.0
67,1205.0
68,1254.0
69,1246.0
70,1198.0
71,1238.0
72,1221.0
73,1233.0
74,1197.0
75,1222.0
76,1312.0
77,1248.0
78,1295.0
79,1214.0
80,1289.0
81,1279.0
82,1259.0
83,1273.0
84,1270.0
85,1279.0
86,1209.0
87,1267.0
88,1287.0
89,1229.0
90,1245.0
91,1278.0
92,1258.0
93,1299.0
94,1332.0
95,1253.0
96,1246.0
97,1285.0
98,1287.0
99,1214.0
100,1273.0
101,1265.0
102,1259.0
103,1280.0
104,1228.0
105,1256.0
106,1263.0
107,1301.0
108,1327.0
109,1255.0
110,1306.0
111,1304.0
112,1270.0
113,1235.0
114,1250.0
115,1273.0
116,1286.0
117,1275.0
118,1236.0
119,1248.0
120,1295.0
121,1218.0
122,1266.0
123,1203.0
124,1242.0
125,1308.0
126,1295.0
127,1265.0
128,1219.0
129,1288.0
130,1255.0
131,1241.0
132,1310.0
133,1302.0
134,1256.0
135,1242.0
136,1219.0
137,1309.0
138,1236.0
139,1309.0
140,1240.0
141,1217.0
142,1293.0
143,1254.0
144,1302.0
145,1240.0
146,1338.0
147,1262.0
148,1268.0
149,1280.0
150,1250.0
151,1316.0
152,1298.0
153,1284.0
154,1277.0
155,1289.0
156,1253.0
157,1256.0
158,1272.0
159,1240.0
160,1273.0
161,1309.0
162,1265.0
163,1212.0
164,1299.0
165,1302.0
166,1276.0
167,1297.0
168,1283.0
169,1232.0
170,1207.0
171,1286.0
172,1310.0
173,1249.0
174,1330.0
175,1270.0
176,1279.0
177,1264.0
178,1321.0
179,1287.0
180,1266.0
181,1324.0
182,1234.0
183,1306.0
184,1263.0
185,1299.0
186,1223.0
187,1267.0
188,1276.0
189,1260.0
190,1308.0
191,1272.0
192,1279.0
193,1266.0
194,1301.0
195,1232.0
196,1252.0
197,1280.0
198,1321.0
199,1254.0
200,1228.0
201,1290.0
202,1295.0
203,1253.0
204,1317.0
205,1313.0
206,1267.0
207,1230.0
208,1284.0
209,1228.0
210,1294.0
211,1265.0
