x,episode_rewards
0,805.0
1,733.0
2,732.0
3,702.0
4,725.0
5,688.0
6,745.0
7,752.0
8,746.0
9,711.0
10,711.0
11,700.0
12,729.0
13,682.0
14,743.0
15,707.0
16,711.0
17,717.0
18,758.0
19,738.0
20,731.0
21,715.0
22,732.0
23,689.0
24,734.0
25,710.0
26,745.0
27,690.0
28,741.0
29,715.0
30,734.0
31,712.0
32,710.0
33,736.0
34,750.0
35,725.0
36,697.0
37,738.0
38,717.0
39,726.0
40,757.0
41,768.0
42,714.0
43,712.0
44,719.0
45,721.0
46,691.0
47,762.0
48,728.0
49,725.0
50,753.0
51,765.0
52,727.0
53,737.0
54,698.0
55,706.0
56,701.0
57,704.0
58,716.0
59,761.0
60,775.0
61,720.0
62,756.0
63,696.0
64,704.0
65,729.0
66,759.0
67,693.0
68,752.0
69,748.0
70,680.0
71,693.0
72,746.0
73,703.0
74,699.0
75,690.0
76,728.0
77,729.0
78,750.0
79,694.0
80,738.0
81,740.0
82,737.0
83,706.0
84,721.0
85,743.0
86,700.0
87,719.0
88,747.0
89,722.0
90,721.0
91,738.0
92,725.0
93,723.0
94,773.0
95,722.0
96,745.0
97,742.0
98,759.0
99,697.0
100,740.0
101,781.0
102,728.0
103,756.0
104,741.0
105,722.0
106,715.0
107,714.0
108,746.0
109,725.0
110,787.0
111,728.0
112,736.0
113,735.0
114,700.0
115,721.0
116,721.0
117,761.0
118,685.0
119,721.0
120,725.0
121,715.0
122,689.0
123,695.0
124,707.0
125,756.0
126,735.0
127,703.0
128,698.0
129,710.0
130,715.0
131,679.0
132,789.0
133,744.0
134,734.0
135,699.0
136,734.0
137,727.0
138,745.0
139,700.0
140,711.0
141,718.0
142,752.0
143,704.0
144,706.0
145,714.0
146,719.0
147,730.0
148,747.0
149,762.0
150,654.0
151,746.0
152,739.0
153,701.0
154,692.0
155,715.0
156,726.0
157,696.0
158,699.0
159,694.0
160,754.0
161,759.0
162,704.0
163,686.0
164,729.0
165,744.0
166,774.0
167,748.0
168,722.0
169,691.0
170,693.0
171,725.0
172,719.0
173,713.0
174,778.0
175,680.0
176,726.0
177,688.0
178,758.0
179,749.0
180,708.0
181,773.0
182,753.0
183,737.0
184,730.0
185,705.0
186,746.0
187,748.0
188,696.0
189,728.0
190,756.0
191,682.0
192,724.0
193,729.0
194,735.0
195,725.0
196,729.0
197,718.0
198,753.0
199,705.0
200,702.0
201,716.0
202,750.0
203,731.0
204,729.0
205,737.0
206,750.0
207,693.0
208,734.0
209,762.0
210,686.0
211,729.0
212,673.0
213,757.0
214,740.0
215,697.0
216,719.0
217,713.0
218,755.0
219,750.0
220,701.0
221,732.0
222,762.0
223,743.0
224,716.0
225,715.0
226,744.0
227,722.0
228,720.0
229,774.0
230,742.0
231,699.0
232,698.0
233,740.0
234,769.0
235,684.0
236,736.0
237,735.0
238,765.0
239,717.0
240,741.0
241,740.0
242,771.0
243,724.0
244,659.0
245,716.0
246,735.0
247,784.0
248,705.0
249,741.0
250,726.0
251,751.0
252,762.0
253,760.0
254,684.0
255,727.0
256,671.0
257,699.0
258,748.0
259,711.0
260,712.0
261,711.0
262,739.0
263,738.0
264,714.0
265,757.0
266,741.0
267,727.0
268,801.0
269,740.0
270,714.0
271,745.0
272,697.0
273,731.0
274,727.0
275,740.0
276,694.0
277,711.0
278,745.0
279,789.0
280,739.0
281,718.0
