x,acc_delay
0,35.25
1,36.0
2,34.35
3,30.7
4,36.0
5,35.75
6,34.75
7,34.349999999999994
8,35.1
9,36.0
10,34.5
11,30.85
12,34.0
13,36.0
14,34.9
15,36.0
16,36.0
17,35.25
18,34.9
19,34.6
20,35.35
21,30.5
22,35.6
23,35.3
24,36.0
25,32.400000000000006
26,33.4
27,35.0
28,36.0
29,33.4
30,32.8
31,35.0
32,36.0
33,36.0
34,36.0
35,36.0
36,36.0
37,36.0
38,34.1
39,36.0
40,35.0
41,34.5
42,32.45
43,32.75
44,35.6
45,35.0
46,35.4
47,34.35
48,36.0
49,34.2
50,34.0
51,36.0
52,35.5
53,36.0
54,31.6
55,34.5
56,34.0
57,34.2
58,34.75
59,35.0
60,31.85
61,36.0
62,31.85
63,36.0
64,36.0
65,32.5
66,31.0
67,34.35
68,33.5
69,29.1
70,35.25
71,35.25
72,36.0
73,34.5
74,36.0
75,36.0
76,35.0
77,33.6
78,34.3
79,30.9
80,33.9
81,35.5
82,32.9
83,33.55
84,36.0
85,33.8
86,32.4
87,32.4
88,34.2
89,34.65
90,34.5
91,32.599999999999994
92,34.6
93,36.0
94,35.150000000000006
95,35.6
96,35.3
97,34.900000000000006
98,30.8
99,33.4
100,36.0
101,36.0
102,33.9
103,35.25
104,35.5
105,36.0
106,36.0
107,32.7
108,35.6
109,35.3
110,32.7
111,35.55
112,36.0
113,35.6
114,35.35
115,35.5
116,33.15
117,33.2
118,32.9
119,31.700000000000003
120,35.2
121,35.0
122,33.75
123,34.45
124,33.8
125,35.6
126,33.35
127,34.6
128,33.2
129,35.8
130,34.4
131,33.8
132,35.0
133,33.8
134,31.5
135,31.1
136,34.4
137,34.15
138,35.5
139,33.0
140,30.5
141,31.2
142,34.4
143,35.5
144,34.7
145,35.2
146,35.2
147,32.05
148,36.0
149,33.9
150,34.0
151,32.3
152,35.2
153,35.5
154,29.45
155,36.0
156,34.5
157,34.0
158,35.75
159,36.0
160,35.0
161,31.650000000000002
162,36.0
163,33.4
164,29.9
165,35.0
166,36.0
167,35.2
168,34.15
169,31.7
170,34.65
171,33.3
172,33.35
173,35.8
174,35.3
175,30.599999999999998
176,32.3
177,34.35
178,34.400000000000006
179,34.5
180,36.0
181,33.35
182,36.0
183,36.0
184,36.0
185,34.2
186,36.0
187,32.599999999999994
188,35.35
189,34.0
190,33.9
191,34.45
192,34.05
193,35.5
194,35.35
195,34.0
196,32.4
197,31.1
198,34.4
199,33.75
200,35.55
201,33.6
202,36.0
203,32.8
204,36.0
205,36.0
206,35.4
207,35.25
208,36.0
209,35.25
210,34.7
211,35.8
212,35.4
213,31.900000000000002
214,34.5
215,34.6
216,32.65
